SIC Code,Description,
1110,"Growing of cereals (except rice), leguminous crops and oil seeds",
1120,Growing of rice,
1130,"Growing of vegetables and melons, roots and tubers",
1140,Growing of sugar cane,
1150,Growing of tobacco,
1160,Growing of fibre crops,
1190,Growing of other non-perennial crops,
1210,Growing of grapes,
1220,Growing of tropical and subtropical fruits,
1230,Growing of citrus fruits,
1240,Growing of pome fruits and stone fruits,
1250,Growing of other tree and bush fruits and nuts,
1260,Growing of oleaginous fruits,
1270,Growing of beverage crops,
1280,"Growing of spices, aromatic, drug and pharmaceutical crops",
1290,Growing of other perennial crops,
1300,Plant propagation,
1410,Raising of dairy cattle,
1420,Raising of other cattle and buffaloes,
1430,Raising of horses and other equines,
1440,Raising of camels and camelids,
1450,Raising of sheep and  goats,
1460,Raising of swine/pigs,
1470,Raising of poultry,
1490,Raising of other animals,
1500,Mixed farming,
1610,Support activities for crop production,
1621,Farm animal boarding and care,
1629,Support activities for animal production (other than farm animal boarding and care) n.e.c.,
1630,Post-harvest crop activities,
1640,Seed processing for propagation,
1700,"Hunting, trapping and related service activities",
2100,Silviculture and other forestry activities,
2200,Logging,
2300,Gathering of wild growing non-wood products,
2400,Support services to forestry,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, mining of clays and kaolin
